subject,compatibility,ratings,ratings_raw,rts,insula,rcz,insula_neurosynth,acc_neurosynth,dacc_neurosynth
1,0,17.59039768,297.33,0.359,0.802423135,4.345182726,-0.352843909,8.074326366,7.713194287
1,0,7.86133901,285.59,0.421,9.614918132,7.009585393,9.005964756,7.906040728,7.726243081
1,0,-49.41750753,231.36,0.327,2.787658437,-1.03085771,1.947815074,4.508144781,4.273724297
1,0,8.254481204,287.54,0.373,8.283669296,3.844088253,6.620223248,8.785155267,9.169512873
1,0,19.87084348,301.07,0.314,-4.224422147,-1.841816239,-3.943166995,0.324882663,0.716286109
1,0,16.5670997,297.15,0.333,1.058909513,4.768559933,0.726581448,4.348271944,4.529721219
1,0,-16.60012602,262.88,0.367,-0.55461742,0.609153315,-0.307009941,0.538217518,-0.120636141
1,0,42.09063135,318.23,0.47,1.536133271,-1.371948079,1.754595779,-0.438763657,0.23359801
1,0,17.97021372,296.38,0.4,-2.208406599,-4.643672027,-1.886371131,-3.798152737,-3.98848827
1,0,-5.159156516,276.04,0.314,2.577155588,-1.59896252,2.951911387,-1.543335733,-0.476476915
1,0,-24.47528512,251.21,0.484,2.296142697,-3.303745678,1.805821468,0.703994859,2.28224078
1,0,16.3652883,287.38,0.628,-0.629768994,-3.298253875,0.756049481,-4.911053576,-5.095443228
1,0,5.555868344,284.29,0.39,0.93105995,-5.395707971,0.382460675,-1.379547819,-2.255709879
1,0,-12.13253901,258.72,0.633,-0.287097031,-4.069654107,-1.513235722,4.877149865,4.521410916
1,0,-24.42510116,252.59,0.443,-1.347526883,-2.349277581,-3.409403998,0.580824125,1.135835531
1,0,15.38223062,296.03,0.331,-1.488791075,-2.310942333,-2.438568917,-0.734343716,-1.103519223
1,0,-8.654655355,269.82,0.398,0.095387667,-2.547892815,-0.383503049,-0.250240536,-0.626318753
1,0,10.14497011,273.57,0.862,0.080840189,-1.117858841,0.644046721,0.975786128,-1.241881541
1,0,-12.13803123,268.38,0.335,-3.808549925,-2.757749153,-3.464387631,-5.816357315,-6.207339909
1,0,-5.206226452,272.49,0.422,-4.39151779,-4.059157321,-3.887531972,-2.857968882,-2.902710987
1,0,18.77547226,291.12,0.587,-4.635408063,-2.323725097,-5.152395761,-3.906070203,-1.741966901
1,0,40.69474305,320.11,0.369,-1.013787255,0.456286367,-1.660833395,-1.674200036,-1.429952779
1,0,31.69369566,310.59,0.385,0.950444477,0.120392798,-0.240917141,-1.258869684,-0.464077569
1,0,22.41759523,299.53,0.44,-1.698838927,-0.958158462,-2.317808551,-0.279846366,-0.448970001
1,0,26.5019406,303.29,0.45,-0.819942688,-0.829089922,-0.703264859,-1.357089591,-1.892388713
1,0,-15.28986417,264.32,0.363,2.513206504,1.851659497,1.705813733,3.156484887,3.972226247
1,0,14.88301617,295.92,0.319,2.567739786,2.309912926,1.372197898,3.597305685,3.395532017
1,0,-9.148321248,267.51,0.454,-3.315647295,-3.669425883,-2.364728167,-2.3981959,-3.874458551
1,1,30.94160086,308.8,0.417,-0.289728005,-1.191567279,-1.180745234,-1.744067407,-1.162275922
1,1,-102.3275357,174.72,0.442,6.066781697,1.704671229,5.140542996,-4.262444586,-3.542858362
1,1,38.57838077,316.08,0.428,-0.972741721,-0.389201975,-2.099796645,-2.494922057,-3.364217608
1,1,-154.256828,124.38,0.393,1.830114669,-1.337925001,0.711771953,-1.516379666,-1.775767944
1,1,33.33534464,311.81,0.398,-0.429954959,-1.429691244,-2.320411624,-3.779824272,-2.684302623
1,1,37.02961213,316.38,0.371,-0.031042788,-1.261556959,-0.911864915,-2.71231509,-2.272569265
1,1,8.604219354,287.76,0.377,0.190026063,-2.051470693,-0.324035189,-4.772431314,-3.794469191
1,1,21.74411329,298.37,0.455,-3.2612321,-1.330998621,-2.614617991,-4.528558597,-3.089681739
1,1,31.88317196,310.52,0.393,1.701093874,4.964298964,3.301146537,-4.696906835,-3.060485597
1,1,15.20489884,292.22,0.443,0.017885744,-1.187859812,0.623489132,0.173152311,0.805039157
1,1,-204.8536361,70.41,0.497,-3.167257027,-0.224241323,-4.76459471,-2.713145852,-2.745907234
1,1,11.45819682,287.63,0.469,-4.007049937,0.701710957,-4.367973065,0.146129187,1.546830776
1,1,27.75584017,302.76,0.505,-2.895989547,-2.721004401,-3.731924343,1.216560135,1.320466952
1,1,25.06714942,300.72,0.485,0.874540934,1.362224375,0.885620845,-2.172460633,-2.569189123
1,1,-10.70483931,266.44,0.439,-1.874138976,-1.831108915,-2.556365073,-3.466296762,-3.186606957
1,1,11.73793497,287.78,0.473,0.809404735,-1.391147284,1.029716176,-4.088635147,-4.568190233
1,1,-13.14693411,262.96,0.471,-3.14927423,-0.971414041,-3.825392717,-0.491446653,-0.365400093
